	avg cpu times	avg gpu times	boost
100	0.0022910118103027345	0.02677292823791504	0.08557195499662493
200	0.003998017311096192	0.0002062082290649414	19.388252977222802
300	0.0043651342391967775	0.0002162933349609375	20.18154761904762
400	0.008394241333007812	0.00021607875823974608	38.8480635551142
500	0.017142581939697265	0.00027942657470703125	61.34914675767918
600	0.025432300567626954	0.0003054618835449219	83.258507649079
700	0.038286352157592775	0.00032815933227539065	116.6700087183958
800	0.05902576446533203	0.00041511058807373045	142.19286657859973
900	0.04199044704437256	0.00038082599639892577	110.26150378764166
1000	0.05558607578277588	0.0003695487976074219	150.41606451612904
1100	0.07394342422485352	0.00038270950317382814	193.21031647146773
1200	0.09445312023162841	0.00038330554962158204	246.41730422342474
1300	0.1317018985748291	0.00042023658752441404	313.39940996255535
1400	0.2454965591430664	0.0003983497619628906	616.283935839119
1500	0.18744797706604005	0.00039341449737548826	476.46433549481856
1600	0.2959131717681885	0.00040369033813476564	733.0201984408221
1700	0.2913938045501709	0.0003890514373779297	748.9852923152347
1800	0.40341529846191404	0.00038928985595703124	1036.2851543361098
1900	0.42707247734069825	0.0003900051116943359	1095.0432815747647
2000	0.6235116720199585	0.0003902673721313477	1597.652574989309
